"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CFp","FF","FA","FF%","SF","SA","SFp","GF","GA","GFp","xGF","xGA","xGFp","SCF","SCA","SCFp","HDCF","HDCA","HDCFp","HDGF","HDGA","HDGFp","HDSH%","HDSV%","SHp","SVp","PDO","conference","division","abrev"
"21","New Jersey Devils","71","3487.2333","45","18","8","43","98","0.690","3696","3172","53.81","2709","2290","54.19","1969","1580","55.48","168","128","56.76","181.16","140.95","56.24","1960","1537","56.05","832","601","58.06","98","70","58.33","16.55","81.82","8.53","91.90","1.004","East","Metropolitan","N.J"
"22","Philadelphia Flyers","71","3463.8667","27","32","12","25","66","0.465","3098","3466","47.20","2313","2456","48.50","1671","1730","49.13","132","145","47.65","137.75","154.29","47.17","1447","1725","45.62","633","718","46.85","75","79","48.70","17.65","83.54","7.90","91.62","0.995","East","Metropolitan","PHI"
"23","Ottawa Senators","72","3310.65","35","32","5","33","75","0.521","3331","3198","51.02","2463","2332","51.37","1754","1696","50.84","130","158","45.14","153.42","148.4","50.83","1672","1652","50.30","698","663","51.29","74","91","44.85","15.48","79.73","7.41","90.68","0.981","East","Atlantic","OTT"
"24","Buffalo Sabres","70","3399","33","31","6","32","72","0.514","3235","3007","51.83","2425","2374","50.53","1760","1776","49.77","164","177","48.09","152.72","157.41","49.24","1707","1663","50.65","659","741","47.07","84","99","45.90","18.54","81.50","9.32","90.03","0.994","East","Atlantic","BUF"
"25","Florida Panthers","72","3335.8167","36","29","7","34","79","0.549","3633","3028","54.54","2721","2347","53.69","1991","1689","54.10","166","143","53.72","174.47","148.77","53.97","1865","1541","54.76","811","706","53.46","98","70","58.33","17.13","85.83","8.34","91.53","0.999","East","Atlantic","FLA"
"26","New York Islanders","72","3504.05","37","27","8","37","82","0.569","3331","3476","48.93","2422","2553","48.68","1732","1774","49.40","155","129","54.58","155.42","161.45","49.05","1715","1734","49.72","740","756","49.47","83","75","52.53","16.12","85.49","8.95","92.73","1.017","East","Metropolitan","NYI"
"27","Dallas Stars","72","3467.5667","39","19","14","36","92","0.639","3435","3289","51.09","2471","2452","50.19","1758","1731","50.39","156","134","53.79","157.38","147.56","51.61","1741","1560","52.74","735","659","52.73","90","76","54.22","17.75","83.59","8.87","92.26","1.011","West","Central","DAL"
"28","Minnesota Wild","72","3438.5","41","22","9","34","91","0.632","3260","3243","50.13","2425","2348","50.81","1681","1690","49.87","127","119","51.63","142.77","139.02","50.67","1528","1508","50.33","630","596","51.39","72","63","53.33","16.44","85.42","7.56","92.96","1.005","West","Central","MIN"
"29","Calgary Flames","73","3483.0833","32","26","15","30","79","0.541","3812","2881","56.96","2814","2157","56.61","2016","1513","57.13","159","150","51.46","170.93","139.6","55.04","1810","1531","54.18","704","633","52.66","87","81","51.79","17.23","81.59","7.89","90.09","0.980","West","Pacific","CGY"
"30","Detroit Red Wings","71","3388.65","31","31","9","28","71","0.500","2826","3290","46.21","2095","2373","46.89","1509","1669","47.48","125","152","45.13","126.09","145.24","46.47","1342","1673","44.51","547","691","44.18","61","72","45.86","15.40","84.35","8.28","90.89","0.992","East","Atlantic","DET"
"31","Winnipeg Jets","73","3492.1167","41","29","3","40","85","0.582","3340","3187","51.17","2485","2408","50.79","1710","1750","49.42","138","136","50.36","158.88","153.46","50.87","1686","1585","51.54","728","676","51.85","74","79","48.37","15.58","82.75","8.07","92.23","1.003","West","Central","WPG"
"32","St Louis Blues","71","3491.8167","32","33","6","29","70","0.493","2886","3411","45.83","2195","2549","46.27","1609","1822","46.90","152","171","47.06","136.79","167.36","44.97","1531","1809","45.84","596","746","44.41","76","102","42.70","16.93","80.50","9.45","90.61","1.001","West","Central","STL"
