"","Player","Team","Position","GP","TOI","Goals","Assists","FirstAssists","SecondAssists","Points","IPP","Shots","SH","ixG","iCF","iFF","iSCF","iHDCF","Rush","Rebounds","PIM","Penalties","Minor","Major","Misconduct","PenaltiesDrawn","Giveaways","Takeaways","Hits","HitsTaken","Blocked","FaceoffsWon","FaceoffsLost","Faceoffs"
"302","John Hayden","SEA","C","7","55.383333333333","2","0","0","0","2","100.00","9","22.22","1.09","19","13","13","7","0","2","7","2","1","1","0","3","1","0","4","0","3","0","1","0.00"
"315","Michael McCarron","NSH","R","22","217.3","1","1","1","0","2","50.00","26","3.85","3.45","49","36","30","17","0","7","24","9","7","2","0","4","1","5","53","23","16","42","30","58.33"
"324","Nic Petan","MIN","C","8","90.116666666667","0","2","1","1","2","33.33","6","0.00","0.42","12","8","3","2","0","0","2","1","1","0","0","2","0","2","3","4","3","0","1","0.00"
"330","Zach Sanford","NSH","L","11","138.21666666667","1","1","1","0","2","50.00","14","7.14","1.53","32","23","20","9","0","0","2","1","1","0","0","1","5","4","14","17","14","2","9","18.18"
"350","Ross Johnston","NYI","L","16","124.76666666667","0","2","2","0","2","50.00","2","0.00","0.29","7","5","5","1","0","1","37","10","6","3","1","6","1","1","34","10","5","1","0","100.00"
"397","Mark Friedman","PIT","D","15","231.31666666667","1","1","1","0","2","25.00","28","3.57","1.08","46","35","10","1","0","4","11","4","3","1","0","7","5","3","32","28","15","0","0","0"
"474","Kyle Capobianco","WPG","D","13","155.26666666667","2","0","0","0","2","28.57","13","15.38","0.65","32","22","7","1","0","2","6","3","3","0","0","1","7","6","10","17","5","0","0","0"
"482","Gabriel Carlsson","WSH","D","6","82.566666666667","0","2","1","1","2","66.67","3","0.00","0.23","6","4","4","2","0","1","0","0","0","0","0","0","2","1","4","2","1","0","0","0"
"542","Beck Malenstyn","WSH","L","5","42.816666666667","1","1","1","0","2","66.67","4","25.00","0.32","7","7","3","2","0","0","2","1","1","0","0","0","0","1","15","5","2","1","0","100.00"
"553","Victor Mete","TOR","D","11","143.8","0","2","0","2","2","25.00","7","0.00","0.27","16","8","5","1","0","0","4","2","2","0","0","1","7","2","3","23","9","0","0","0"
"582","Otto Koivula","NYI","L","8","54.883333333333","0","2","0","2","2","100.00","5","0.00","0.44","8","6","6","3","0","0","4","2","2","0","0","2","1","2","6","4","4","13","8","61.90"
"623","Urho Vaakanainen","ANA","D","23","378.53333333333","0","2","1","1","2","33.33","27","0.00","0.91","58","40","13","1","0","5","0","0","0","0","0","1","10","7","18","36","28","0","0","0"
"647","Jack Rathbone","VAN","D","7","101.76666666667","1","1","0","1","2","25.00","9","11.11","0.5","19","12","5","1","0","0","0","0","0","0","0","2","3","0","1","8","3","0","0","0"
"662","Radim Simek","S.J","D","36","522","1","1","1","0","2","16.67","37","2.70","2.34","67","47","29","7","12","7","27","12","11","1","0","6","18","17","70","54","56","0","0","0"
"688","Mac Hollowell","TOR","D","6","77.616666666667","0","2","1","1","2","33.33","4","0.00","0.12","6","5","1","0","0","0","2","1","1","0","0","0","1","3","3","7","6","0","0","0"
"765","Jake Christiansen","CBJ","D","19","268.9","0","2","1","1","2","22.22","21","0.00","1.06","46","34","15","3","0","3","4","2","2","0","0","2","6","4","18","24","21","0","0","0"
"766","Brayden Pachal","VGK","D","9","149.05","0","2","0","2","2","50.00","16","0.00","0.44","30","21","7","0","0","2","6","3","3","0","0","0","4","3","24","16","9","0","0","0"
"780","Kaedan Korczak","VGK","D","10","175.68333333333","0","2","1","1","2","28.57","16","0.00","0.81","34","26","7","2","1","4","0","0","0","0","0","2","1","6","25","9","8","0","0","0"
"818","Zac Jones","NYR","D","16","249.76666666667","1","1","0","1","2","25.00","15","6.67","0.68","30","21","12","0","1","1","4","2","2","0","0","1","9","7","5","16","16","0","0","0"
"881","Brandt Clarke","L.A","D","9","122.78333333333","0","2","2","0","2","18.18","11","0.00","1.08","21","16","9","4","0","1","6","3","3","0","0","2","3","1","3","14","14","0","0","0"
"886","Jesper Froden","SEA","R","10","99.8","0","2","0","2","2","33.33","6","0.00","1","13","13","11","4","0","1","2","1","1","0","0","1","3","5","8","7","5","0","0","0"
"893","Shane Wright","SEA","C","8","67.866666666667","1","1","0","1","2","33.33","4","25.00","0.7","10","8","6","5","0","1","2","1","1","0","0","1","2","1","1","10","6","10","21","32.26"
"63","Jake Muzzin","TOR","D","4","66.85","0","1","1","0","1","50.00","8","0.00","0.33","19","12","7","0","0","1","2","1","1","0","0","0","5","2","11","8","10","0","0","0"
"66","Wayne Simmonds","TOR","R","14","103.08333333333","0","1","1","0","1","33.33","7","0.00","0.75","16","11","7","3","0","2","34","10","7","2","1","5","0","3","36","9","7","3","0","100.00"
"98","Kyle Clifford","TOR","L","2","15.816666666667","0","1","0","1","1","100.00","2","0.00","0.25","5","3","4","2","0","0","2","1","1","0","0","0","0","0","6","4","0","0","0","0"
"164","Dylan McIlrath","WSH","D","6","70.05","0","1","0","1","1","50.00","1","0.00","0.21","17","10","6","0","0","4","7","2","1","1","0","1","2","0","14","1","7","0","0","0"
"173","Kevin Gravel","NSH","D","18","247.51666666667","0","1","1","0","1","20.00","14","0.00","0.48","38","22","10","2","1","2","2","1","1","0","0","0","10","1","18","43","18","0","0","0"
"189","Joseph Cramarossa","MIN","C","4","31.183333333333","1","0","0","0","1","100.00","1","100.00","0.2","3","3","2","2","0","0","4","2","2","0","0","1","0","1","8","2","1","0","1","0.00"
"194","Andy Andreoff","NYI","C","3","22.05","0","1","0","1","1","100.00","1","0.00","0.07","1","1","1","0","0","1","0","0","0","0","0","0","1","1","7","1","1","3","4","42.86"
"197","Mike Reilly","BOS","D","10","167.35","0","1","0","1","1","12.50","12","0.00","0.65","29","19","7","2","1","1","2","1","1","0","0","1","4","0","21","11","10","0","0","0"
"237","Brendan Gaunce","CBJ","C","5","52.316666666667","0","1","1","0","1","50.00","9","0.00","0.54","12","12","5","1","1","0","2","1","1","0","0","0","1","1","4","2","2","33","23","58.93"
"271","Dominic Toninato","WPG","C","4","28.166666666667","0","1","0","1","1","50.00","5","0.00","0.36","5","5","5","1","1","0","2","1","1","0","0","1","1","2","4","1","1","3","5","37.50"
"296","Tucker Poolman","VAN","D","3","41.883333333333","0","1","1","0","1","50.00","3","0.00","0.06","4","3","0","0","0","0","0","0","0","0","0","0","1","1","2","3","2","0","0","0"
"323","Steven Santini","STL","D","4","50.033333333333","0","1","1","0","1","50.00","5","0.00","0.12","9","8","1","0","1","1","2","1","1","0","0","2","4","0","6","5","10","0","0","0"
"353","Joel Hanley","DAL","D","23","266.23333333333","0","1","0","1","1","8.33","13","0.00","0.63","30","22","8","1","2","2","15","6","5","1","0","2","7","3","23","26","27","0","0","0"
"367","Haydn Fleury","T.B","D","26","326.26666666667","0","1","0","1","1","16.67","27","0.00","1.28","61","43","20","4","11","6","14","3","2","0","1","7","6","3","27","50","25","0","0","0"
"425","Luke Philp","CHI","C","3","35.033333333333","0","1","1","0","1","50.00","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","2","4","1","0","1","3","25.00"
"439","Travis Dermott","VAN","D","11","151.25","1","0","0","0","1","20.00","7","14.29","0.42","14","9","4","2","1","0","2","1","1","0","0","0","1","1","10","17","10","0","0","0"
"460","Parker Wotherspoon","NYI","D","12","159.91666666667","0","1","0","1","1","14.29","10","0.00","0.32","17","12","4","0","2","3","4","2","2","0","0","0","1","4","8","15","7","0","0","0"
"502","Brett Seney","CHI","L","7","91.9","1","0","0","0","1","50.00","9","11.11","0.69","14","10","11","4","0","1","2","1","1","0","0","1","0","2","11","9","4","5","8","38.46"
"513","Kevin Rooney","CGY","C","17","150.66666666667","0","1","1","0","1","25.00","14","0.00","2.17","27","21","18","10","2","6","7","2","1","1","0","6","3","4","26","18","10","44","61","41.90"
"527","Libor Hajek","NYR","D","16","212.15","1","0","0","0","1","14.29","13","7.69","0.3","25","15","6","0","1","3","4","2","2","0","0","0","7","2","17","31","20","0","0","0"
"546","William Lockwood","VAN","R","13","133.6","0","1","0","1","1","100.00","12","0.00","1.56","20","18","12","6","1","1","0","0","0","0","0","1","3","4","37","21","13","0","0","0"
"552","William Bitten","STL","C","4","26.583333333333","0","1","1","0","1","100.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","10","3","0","0","0","0"
"571","Alex Nylander","PIT","L","6","80.016666666667","0","1","0","1","1","25.00","8","0.00","0.84","16","11","13","5","1","1","0","0","0","0","0","1","0","4","9","12","3","1","1","50.00"
"583","Joona Koppanen","BOS","L","5","54.133333333333","0","1","0","1","1","100.00","2","0.00","0.13","4","2","4","2","0","0","4","2","2","0","0","0","3","4","8","3","2","25","19","56.82"
"597","Matt Luff","DET","R","10","86.1","1","0","0","0","1","50.00","7","14.29","0.96","13","12","7","7","0","1","0","0","0","0","0","1","3","5","8","8","4","0","2","0.00"
"615","Cale Fleury","SEA","D","11","141.5","0","1","0","1","1","20.00","10","0.00","0.8","26","17","7","2","1","2","2","1","1","0","0","0","9","3","26","16","13","0","0","0"
"626","Jonas Rondbjerg","VGK","R","13","132.21666666667","0","1","1","0","1","100.00","15","0.00","0.99","24","20","12","4","3","1","4","2","2","0","0","2","1","8","2","30","7","1","2","33.33"
"671","Jacob Peterson","DAL, S.J","C","3","38.966666666667","0","1","0","1","1","100.00","4","0.00","0.38","7","6","5","0","0","0","2","1","1","0","0","1","0","0","3","2","1","0","0","0"
"676","Olle Lycksell","PHI","R","8","84.483333333333","0","1","0","1","1","100.00","5","0.00","0.33","6","5","5","3","1","0","8","3","3","0","0","0","2","1","1","9","7","0","0","0"
"679","Samuel Walker","MIN","C","8","83.283333333333","1","0","0","0","1","50.00","7","14.29","1.15","10","9","7","3","0","0","0","0","0","0","0","5","0","1","2","14","1","0","0","0"
"684","David Gust","CHI","R","4","56.816666666667","1","0","0","0","1","50.00","7","14.29","0.92","13","8","10","5","0","2","2","1","1","0","0","1","1","1","3","5","1","0","0","0"
"690","Kristian Reichel","WPG","C","2","21.116666666667","0","1","0","1","1","100.00","1","0.00","0.09","2","2","1","0","0","0","0","0","0","0","0","1","0","1","2","3","0","0","0","0"
"736","Jacob Bernard0Docker","OTT","D","13","224.95","0","1","0","1","1","20.00","15","0.00","0.79","35","23","10","4","1","4","9","3","2","1","0","1","5","1","16","23","23","0","0","0"
"757","Cole Koepke","T.B","L","17","154.71666666667","1","0","0","0","1","33.33","12","8.33","1.66","32","22","18","10","5","1","2","1","1","0","0","4","6","4","32","24","5","0","0","0"
"760","Tim Berni","CBJ","D","49","837.2","1","0","0","0","1","3.45","50","2.00","2.98","103","64","37","8","4","5","30","15","15","0","0","2","22","16","102","66","58","0","0","0"
"761","John Leonard","NSH","L","4","50.05","1","0","0","0","1","100.00","2","50.00","0.18","7","4","5","2","0","1","0","0","0","0","0","0","1","4","2","3","1","0","0","0"
"770","Jacob Lucchini","OTT","C","11","128.38333333333","1","0","0","0","1","33.33","14","7.14","1.51","27","22","16","7","1","3","0","0","0","0","0","0","7","3","16","18","1","0","2","0.00"
"772","Corey Schueneman","MTL","D","4","63.166666666667","0","1","0","1","1","50.00","7","0.00","0.15","11","10","0","0","0","1","0","0","0","0","0","0","3","1","1","16","9","0","0","0"
"776","Nolan Foote","N.J","L","6","43.3","1","0","0","0","1","50.00","4","25.00","0.6","7","7","3","1","1","0","0","0","0","0","0","0","0","2","5","6","3","0","2","0.00"
"785","Nikita Okhotiuk","N.J","D","10","117.33333333333","1","0","0","0","1","16.67","6","16.67","0.21","11","8","2","0","2","1","2","1","1","0","0","0","4","1","31","5","9","0","0","0"
"787","Samuel Bolduc","NYI","D","9","134.21666666667","1","0","0","0","1","20.00","12","8.33","0.32","28","18","5","0","0","2","2","1","1","0","0","0","8","0","16","19","7","0","0","0"
"796","Ville Heinola","WPG","D","10","132.66666666667","0","1","1","0","1","33.33","5","0.00","0.22","13","6","7","0","0","2","2","1","1","0","0","2","8","2","7","14","7","0","0","0"
"802","Sam Poulin","PIT","R","3","29.9","0","1","0","1","1","100.00","2","0.00","0.34","5","4","2","0","0","1","2","1","1","0","0","0","1","0","3","4","1","8","9","47.06"
"807","Tobias Bjornfot","L.A","D","8","113.61666666667","0","1","0","1","1","16.67","10","0.00","0.27","19","15","4","1","0","0","6","3","3","0","0","1","0","0","10","13","8","0","0","0"
"810","Jordan Spence","L.A","D","5","71.55","0","1","1","0","1","33.33","6","0.00","0.59","13","9","5","3","0","1","0","0","0","0","0","1","2","1","3","6","3","0","0","0"
"820","Matej Blumel","DAL","R","6","58.216666666667","1","0","0","0","1","100.00","7","14.29","0.63","12","9","8","4","2","1","0","0","0","0","0","0","5","3","7","8","2","0","0","0"
"824","Nikolai Knyzhov","S.J","D","9","147.13333333333","1","0","0","0","1","50.00","7","14.29","0.33","14","9","2","1","1","0","8","4","4","0","0","0","8","3","8","14","11","0","0","0"
"831","Marco Rossi","MIN","C","16","199.03333333333","0","1","1","0","1","33.33","11","0.00","1.47","23","18","18","8","0","3","6","3","3","0","0","5","2","4","4","6","7","56","67","45.53"
"860","Bobby McMann","TOR","C","10","105.71666666667","0","1","0","1","1","50.00","18","0.00","2.03","29","26","17","9","1","2","2","1","1","0","0","1","2","2","17","19","0","1","1","50.00"
"884","Simon Edvinsson","DET","D","3","44.666666666667","1","0","0","0","1","100.00","4","25.00","0.42","8","6","3","2","0","0","6","3","3","0","0","3","1","2","3","3","0","0","0","0"
"887","Vincent Iorio","WSH","D","3","43.033333333333","0","1","1","0","1","33.33","3","0.00","0.09","9","4","2","0","0","1","0","0","0","0","0","1","3","1","2","4","3","0","0","0"
"895","Ben Meyers","COL","C","33","326.78333333333","1","0","0","0","1","20.00","27","3.70","4.75","54","41","39","26","0","3","6","3","3","0","0","3","3","10","20","28","11","96","90","51.61"
"902","Hunter McKown","CBJ","C","2","26.85","0","1","0","1","1","100.00","3","0.00","0.38","6","4","4","1","0","2","2","1","1","0","0","1","1","0","1","2","1","18","5","78.26"
"25","Darren Helm","COL","C","7","63.583333333333","0","0","0","0","0","0","6","0.00","0.67","10","9","7","5","0","1","4","2","2","0","0","2","1","0","12","9","2","22","30","42.31"
"27","Anton Stralman","BOS","D","8","122.96666666667","0","0","0","0","0","0.00","3","0.00","0.19","14","6","4","1","0","0","2","1","1","0","0","0","2","3","12","8","10","0","0","0"
"53","Brad Malone","EDM","C","10","76.866666666667","0","0","0","0","0","0","7","0.00","0.94","14","9","7","2","0","2","6","3","3","0","0","1","1","3","26","7","4","26","19","57.78"
"89","Mark Borowiecki","NSH","D","4","39.7","0","0","0","0","0","0.00","1","0.00","0.09","7","4","2","0","0","0","12","3","1","2","0","2","0","0","5","6","1","0","0","0"
"156","Riley Sheahan","BUF","C","2","16.616666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","0","0","1","0","0","2","1","7","3","70.00"
"157","Chris Wagner","BOS","R","1","12.6","0","0","0","0","0","0","0","0","0.05","1","1","1","0","0","0","0","0","0","0","0","0","0","0","6","3","1","1","3","25.00"
"177","Taylor Fedun","PIT","D","3","33.1","0","0","0","0","0","0.00","5","0.00","0.2","13","8","3","0","0","1","0","0","0","0","0","0","0","0","0","4","4","0","0","0"
"192","Steven Fogarty","MIN","C","2","20.633333333333","0","0","0","0","0","0","0","0","0.08","1","1","0","0","0","0","0","0","0","0","0","1","0","1","3","1","0","2","2","50.00"
"232","Alex Galchenyuk","COL","C","10","75.25","0","0","0","0","0","0","8","0.00","0.53","15","11","8","3","2","0","4","2","2","0","0","0","0","0","10","5","3","4","3","57.14"
"270","Charles Hudon","COL","L","9","97.016666666667","0","0","0","0","0","0.00","18","0.00","1.74","26","21","17","7","0","6","2","1","1","0","0","1","0","3","13","10","2","5","4","55.56"
"279","Connor Brown","WSH","R","4","67.066666666667","0","0","0","0","0","0.00","2","0.00","0.47","8","5","5","2","0","0","0","0","0","0","0","1","2","1","6","9","1","2","3","40.00"
"286","Buddy Robinson","CHI","R","7","81.583333333333","0","0","0","0","0","0.00","8","0.00","0.55","13","12","6","2","0","0","2","1","1","0","0","1","3","0","11","4","1","1","1","50.00"
"289","Anton Blidh","COL","L","14","92.116666666667","0","0","0","0","0","0","9","0.00","0.72","13","11","5","4","0","0","4","2","2","0","0","1","0","1","18","13","2","1","3","25.00"
"321","Laurent Dauphin","ARI","C","16","164.43333333333","0","0","0","0","0","0.00","17","0.00","2.22","31","23","18","12","5","0","6","3","3","0","0","2","4","9","16","21","9","56","55","50.45"
"325","Gustav Olofsson","SEA","D","3","38.8","0","0","0","0","0","0.00","6","0.00","0.18","8","7","1","0","0","0","0","0","0","0","0","0","1","1","2","4","4","0","0","0"
"326","Dillon Heatherington","OTT","D","3","27.8","0","0","0","0","0","0","1","0.00","0.02","3","2","0","0","0","1","0","0","0","0","0","0","2","1","2","2","2","0","0","0"
