"","Player","Team","Position","GP","TOI","Goals","Assists","FirstAssists","SecondAssists","Points","IPP","Shots","SH","ixG","iCF","iFF","iSCF","iHDCF","Rush","Rebounds","PIM","Penalties","Minor","Major","Misconduct","PenaltiesDrawn","Giveaways","Takeaways","Hits","HitsTaken","Blocked","FaceoffsWon","FaceoffsLost","Faceoffs"
"349","Jean0Sebastien Dea","ARI","C","4","37.8","0","0","0","0","0","0.00","1","0.00","0.31","4","3","3","3","0","1","0","0","0","0","0","1","0","1","3","6","1","1","2","33.33"
"351","Dakota Mermis","MIN","D","2","28.916666666667","0","0","0","0","0","0","1","0.00","0.07","4","2","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","0","0","0"
"389","Roland McKeown","NSH","D","6","77.866666666667","0","0","0","0","0","0.00","3","0.00","0.23","11","6","4","0","0","1","8","4","4","0","0","2","4","1","4","9","6","0","0","0"
"393","Justin Kirkland","ANA","C","7","50.5","0","0","0","0","0","0.00","5","0.00","0.5","14","8","8","2","1","2","0","0","0","0","0","1","0","0","8","6","3","2","1","66.67"
"405","Max Willman","PHI","C","9","80.666666666667","0","0","0","0","0","0.00","9","0.00","0.72","17","13","7","3","2","0","4","2","2","0","0","0","0","1","16","19","6","0","3","0.00"
"408","CJ Suess","S.J","L","1","5.8333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","1","0.00"
"409","Dysin Mayo","ARI","D","15","175.46666666667","0","0","0","0","0","0.00","7","0.00","0.5","14","12","4","2","0","1","8","4","4","0","0","5","8","2","30","18","20","0","0","0"
"412","Rourke Chartier","OTT","C","6","62.016666666667","0","0","0","0","0","0.00","8","0.00","0.8","14","10","9","4","0","1","0","0","0","0","0","2","0","1","10","3","3","19","14","57.58"
"417","Ondrej Kase","CAR","R","1","11.033333333333","0","0","0","0","0","0","0","0","0.07","3","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.00"
"420","Matthew Highmore","STL","C","2","21.5","0","0","0","0","0","0.00","2","0.00","0.07","3","2","1","0","0","0","0","0","0","0","0","1","0","1","4","1","0","0","0","0"
"421","Bokondji Imama","ARI","L","5","37.416666666667","0","0","0","0","0","0","0","0","0.03","3","1","2","1","0","0","5","1","0","1","0","1","0","0","13","3","2","0","0","0"
"422","Hayden Hodgson","PHI","R","1","4.7666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","Darren Raddysh","T.B","D","9","127.66666666667","0","0","0","0","0","0.00","14","0.00","0.61","25","18","8","1","3","2","0","0","0","0","0","0","4","1","10","13","9","0","0","0"
"428","Cole Bardreau","NYI","C","1","6.6166666666667","0","0","0","0","0","0","0","0","0.08","2","1","2","1","0","0","2","1","1","0","0","0","0","0","2","0","0","0","0","0"
"429","Nikita Soshnikov","NYI","R","3","29.816666666667","0","0","0","0","0","0","4","0.00","0.56","9","8","5","2","0","0","0","0","0","0","0","1","1","0","8","3","0","0","1","0.00"
"458","Glenn Gawdin","ANA","C","3","28.783333333333","0","0","0","0","0","0","3","0.00","0.18","4","4","2","0","0","0","0","0","0","0","0","0","1","0","4","2","3","8","14","36.36"
"463","Noah Juulsen","VAN","D","12","179.58333333333","0","0","0","0","0","0.00","5","0.00","0.3","18","11","2","0","0","0","6","3","3","0","0","2","2","3","43","13","16","0","0","0"
"476","Jacob Larsson","OTT","D","7","83.783333333333","0","0","0","0","0","0.00","4","0.00","0.08","12","5","3","0","0","2","6","2","2","0","0","0","6","1","7","18","6","0","0","0"
"512","Dan Renouf","BOS","D","1","11.566666666667","0","0","0","0","0","0","5","0.00","0.46","5","5","1","0","1","1","0","0","0","0","0","0","1","0","1","0","2","0","0","0"
"519","Maxime Lajoie","CAR","D","3","23.566666666667","0","0","0","0","0","0","2","0.00","0.07","7","3","3","0","0","1","0","0","0","0","0","0","1","0","2","1","0","0","0","0"
"520","Lucas Johansen","WSH","D","2","25.316666666667","0","0","0","0","0","0","3","0.00","0.12","5","3","1","0","0","0","0","0","0","0","0","1","0","1","0","1","3","0","0","0"
"526","Frederic Allard","MTL","D","1","11.516666666667","0","0","0","0","0","0.00","2","0.00","0.04","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"531","Markus Niemelainen","EDM","D","23","230.95","0","0","0","0","0","0.00","16","0.00","0.62","33","22","8","2","1","2","4","2","2","0","0","3","16","0","61","52","16","0","0","0"
"537","Tyler Benson","EDM","L","2","12.566666666667","0","0","0","0","0","0","0","0","0.12","2","2","2","1","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0"
"543","Riley Tufte","DAL","L","3","23.866666666667","0","0","0","0","0","0","1","0.00","0.05","3","1","2","1","0","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0"
"561","Dennis Cholowski","NYI","D","2","25.55","0","0","0","0","0","0.00","0","0","0.02","7","1","3","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0"
"570","Jacob Moverare","L.A","D","2","29.933333333333","0","0","0","0","0","0.00","6","0.00","0.14","7","6","3","1","2","0","0","0","0","0","0","0","0","1","3","4","4","0","0","0"
"576","Drake Caggiula","PIT","C","4","26.4","0","0","0","0","0","0.00","2","0.00","0.11","3","3","2","1","1","1","0","0","0","0","0","0","0","1","6","1","1","0","1","0.00"
"578","Fredrik Karlstrom","DAL","C","5","47.783333333333","0","0","0","0","0","0.00","6","0.00","0.2","8","6","2","0","0","1","0","0","0","0","0","1","1","1","1","5","1","0","0","0"
"580","Lucas Carlsson","FLA","D","2","20.183333333333","0","0","0","0","0","0","2","0.00","0.09","4","3","1","0","0","0","2","1","1","0","0","0","1","0","3","7","1","0","0","0"
"587","Matthew Phillips","CGY","C","2","18.066666666667","0","0","0","0","0","0.00","1","0.00","0.09","4","1","3","1","1","0","2","1","1","0","0","0","0","0","0","1","0","0","0","0"
"589","Mikhail Maltsev","COL","L","5","32.983333333333","0","0","0","0","0","0","4","0.00","0.13","5","4","2","0","0","0","0","0","0","0","0","0","0","2","4","5","2","14","13","51.85"
"594","Jeremy Davies","BUF","D","1","8.55","0","0","0","0","0","0","1","0.00","0.02","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","1","1","0","0","0"
"601","Jeffrey Viel","S.J","L","1","7.3666666666667","0","0","0","0","0","0","1","0.00","0.02","1","1","0","0","0","0","2","1","1","0","0","0","0","0","2","1","1","0","0","0"
"602","Alex Barré0Boulet","T.B","C","1","10.016666666667","0","0","0","0","0","0","1","0.00","0.12","2","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.00"
"617","Jake Leschyshyn","NYR, VGK","C","35","319.5","0","0","0","0","0","0.00","31","0.00","3.41","46","36","34","21","1","3","8","4","4","0","0","6","4","4","55","37","11","118","115","50.64"
"640","Shane Bowers","COL","C","1","1.7666666666667","0","0","0","0","0","0","1","0.00","0.08","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0.00"
"654","Lias Andersson","L.A","C","1","8.6166666666667","0","0","0","0","0","0","1","0.00","0.1","3","2","2","1","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0"
"657","Nick DeSimone","CGY","D","4","45","0","0","0","0","0","0.00","4","0.00","0.15","7","6","2","0","0","0","2","1","1","0","0","1","1","2","2","3","4","0","0","0"
"674","Marian Studenic","DAL","L","3","26.066666666667","0","0","0","0","0","0","4","0.00","0.56","6","6","5","4","0","0","0","0","0","0","0","1","3","0","3","2","0","0","0","0"
"675","Arnaud Durandeau","NYI","L","4","52","0","0","0","0","0","0.00","9","0.00","0.88","11","10","6","5","1","1","2","1","1","0","0","2","0","1","3","3","2","0","1","0.00"
"682","Carson Meyer","CBJ","R","13","124.4","0","0","0","0","0","0.00","16","0.00","1.59","29","24","18","7","1","2","4","2","2","0","0","4","0","2","22","13","6","0","0","0"
"689","Trey Fix0Wolansky","CBJ","R","5","53.066666666667","0","0","0","0","0","0.00","7","0.00","0.66","12","9","7","2","0","0","0","0","0","0","0","1","2","0","7","4","5","0","0","0"
"693","Austin Strand","ANA","D","5","62.016666666667","0","0","0","0","0","0","5","0.00","0.18","9","6","2","0","0","1","2","1","1","0","0","0","0","0","5","10","4","0","0","0"
"694","James Hamblin","EDM","L","10","88.616666666667","0","0","0","0","0","0.00","12","0.00","1.28","16","15","12","6","1","2","2","1","1","0","0","0","1","2","2","9","1","27","15","64.29"
"698","Sheldon Rempal","VGK","R","1","7.7333333333333","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"711","Filip Kral","TOR","D","2","19.916666666667","0","0","0","0","0","0.00","1","0.00","0.02","1","1","0","0","0","0","2","1","1","0","0","0","1","0","2","0","1","0","0","0"
"717","Alec Regula","CHI","D","4","66.383333333333","0","0","0","0","0","0.00","2","0.00","0.09","7","3","2","1","1","1","4","2","2","0","0","0","7","1","4","15","8","0","0","0"
"720","Jonathan Gruden","PIT","C","3","15.983333333333","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","5","9","35.71"
"722","Filip Hallander","PIT","C","2","19.933333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","1","3","0","0","0"
"725","Sampo Ranta","COL","L","6","44.05","0","0","0","0","0","0.00","5","0.00","0.46","10","6","6","3","0","2","4","2","2","0","0","0","2","0","10","7","3","0","1","0.00"
"731","Gabriel Fortier","T.B","L","1","8.4166666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"741","Jan Jenik","ARI","R","1","3.9833333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0","2","0","1","0","0","0"
"742","Michael Kesselring","ARI","D","7","124.75","0","0","0","0","0","0.00","8","0.00","0.55","20","16","6","2","0","1","4","2","2","0","0","0","3","2","6","13","4","0","0","0"
"748","Semyon Der0Arguchintsev","TOR","C","1","7.2666666666667","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"749","Nathan Smith","ARI","C","1","8.8166666666667","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","1","0","2","0","2","3","40.00"
"782","Alex Turcotte","L.A","C","4","27.9","0","0","0","0","0","0","2","0.00","0.32","5","4","4","1","1","0","5","1","0","1","0","1","2","1","1","7","0","6","8","42.86"
"791","Adam Beckman","MIN","L","9","96.216666666667","0","0","0","0","0","0","12","0.00","1.12","25","19","13","4","0","1","0","0","0","0","0","2","0","2","3","7","2","0","1","0.00"
"797","Lassi Thomson","OTT","D","2","21.783333333333","0","0","0","0","0","0","1","0.00","0.05","2","2","1","0","0","0","4","2","2","0","0","0","0","1","2","3","0","0","0","0"
"799","Connor McMichael","WSH","C","6","53.15","0","0","0","0","0","0.00","2","0.00","0.12","4","2","2","1","0","0","5","1","0","1","0","2","0","1","2","4","3","2","1","66.67"
"801","Egor Afanasyev","NSH","L","8","78.816666666667","0","0","0","0","0","0","9","0.00","0.5","13","10","7","2","0","1","0","0","0","0","0","1","1","0","13","4","5","0","0","0"
"811","Vladislav Kolyachonok","ARI","D","2","27.516666666667","0","0","0","0","0","0","2","0.00","0.28","2","2","1","1","1","0","0","0","0","0","0","0","0","1","2","4","2","0","0","0"
"822","Tyce Thompson","N.J","R","2","17.3","0","0","0","0","0","0","1","0.00","0.09","3","2","2","1","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0"
"823","Nikita Nesterenko","ANA","C","2","26.383333333333","0","0","0","0","0","0","4","0.00","0.65","6","5","4","2","0","1","0","0","0","0","0","0","0","1","0","2","0","0","1","0.00"
"846","Jamie Drysdale","ANA","D","8","140.96666666667","0","0","0","0","0","0.00","8","0.00","0.35","18","12","4","0","1","2","2","1","1","0","0","0","3","0","7","10","6","0","0","0"
"848","Jean0Luc Foudy","COL","C","9","90.266666666667","0","0","0","0","0","0.00","12","0.00","1.33","15","14","10","5","1","0","6","3","3","0","0","4","5","3","2","12","2","0","3","0.00"
"850","Will Cuylle","NYR","L","4","27.833333333333","0","0","0","0","0","0","1","0.00","0.11","3","3","1","1","0","0","10","2","0","2","0","2","1","2","8","5","0","0","2","0.00"
"853","Wyatt Kaiser","CHI","D","3","49.733333333333","0","0","0","0","0","0.00","2","0.00","0.15","3","3","3","0","0","0","0","0","0","0","0","0","3","0","1","2","3","0","0","0"
"855","William Dufour","NYI","R","1","6.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0.00"
"857","Radim Zohorna","CGY","L","8","67.35","0","0","0","0","0","0.00","3","0.00","0.28","6","4","5","3","0","1","0","0","0","0","0","2","0","3","5","7","1","21","18","53.85"
"859","Callahan Burke","COL","C","2","17.616666666667","0","0","0","0","0","0","2","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","2","4","33.33"
"861","Billy Sweezey","CBJ","D","1","10.016666666667","0","0","0","0","0","0.00","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0"
"862","Elliot Desnoyers","PHI","L","4","53.466666666667","0","0","0","0","0","0.00","3","0.00","0.36","7","5","5","2","1","1","0","0","0","0","0","1","1","2","9","4","4","8","14","36.36"
"865","Josh Dunne","CBJ","C","3","17.183333333333","0","0","0","0","0","0","0","0","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","3","5","37.50"
"867","Alex Steeves","TOR","C","3","23.533333333333","0","0","0","0","0","0","3","0.00","0.3","5","5","4","2","0","0","0","0","0","0","0","1","0","2","3","4","0","0","0","0"
"868","Mike Hardman","CHI","L","6","63.3","0","0","0","0","0","0","6","0.00","0.73","10","10","5","4","0","1","0","0","0","0","0","1","1","3","19","8","6","6","4","60.00"
"871","Jackson Cates","PHI","C","5","44.883333333333","0","0","0","0","0","0.00","4","0.00","0.65","8","6","4","2","0","0","0","0","0","0","0","1","0","1","3","3","1","9","10","47.37"
"880","Oskar Olausson","COL","R","1","7.0333333333333","0","0","0","0","0","0","0","0","0.07","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"889","Marc McLaughlin","BOS","C","2","20.116666666667","0","0","0","0","0","0","3","0.00","0.12","4","3","1","0","0","0","2","1","1","0","0","0","0","0","2","1","0","6","5","54.55"
"890","Owen Beck","MTL","C","1","9.8","0","0","0","0","0","0","0","0","0.06","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","33.33"
"891","David Jiricek","CBJ","D","2","31.016666666667","0","0","0","0","0","0","4","0.00","0.11","5","4","0","0","0","1","2","1","1","0","0","0","0","1","5","4","4","0","0","0"
"896","Milos Kelemen","ARI","L","5","39.183333333333","0","0","0","0","0","0","2","0.00","0.26","4","4","2","2","1","0","4","2","2","0","0","0","2","0","9","9","3","0","1","0.00"
"900","Anton Levtchi","FLA","L","2","19.15","0","0","0","0","0","0","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0.00"
